section,agent,metric,baseline,instrumented,overhead_percent
duration,@dev,average,498.882139,485.217324,-2.739087
duration,@dev,median,501.580399,484.933853,-2.739087
duration,@dev,p95,535.842838,509.126846,-2.739087
duration,@dev,p99,535.842838,509.126846,-2.739087
duration,@qa,average,679.228258,669.037001,-1.500417
duration,@qa,median,676.357397,666.610952,-1.500417
duration,@qa,p95,736.545881,698.568491,-1.500417
duration,@qa,p99,736.545881,698.568491,-1.500417
duration,@architect,average,661.038945,671.854722,1.636179
duration,@architect,median,656.831357,668.166506,1.636179
duration,@architect,p95,728.952984,710.599291,1.636179
duration,@architect,p99,728.952984,710.599291,1.636179
component,name,time_ms,percent_of_total,avg_ms
component,async_send,1033.935833,99.053853,51.696792
component,skill_hooks,4.701398,0.450407,0.235070
component,sanitization,3.936899,0.377166,0.196845
component,agent_hooks,1.072799,0.102777,0.053640
component,serialization,0.164900,0.015798,0.008245
